orderId,Account,Order ID,B/S,Contract,Product,Product Description,avgPrice,filledQty,Fill Time,lastCommandId,Status,_priceFormat,_priceFormatType,_tickSize,spreadDefinitionId,Version ID,Timestamp,Date,Quantity,Text,Type,Limit Price,Stop Price,decimalLimit,decimalStop,Filled Qty,Avg Fill Price,decimalFillAvg
143379511858,DEMO3191066,143379511858, Buy,MNQZ4,MNQ,Micro E-mini NASDAQ-100,20852.25,15,11/15/2024 00:01:13,143379511858, Filled,-2,0,0.25,,143379511858,11/15/2024 00:01:13,11/15/24,15,, Market,,,,,15,20852.25,20852.25
143379511869,DEMO3191066,143379511869, Buy,MNQZ4,MNQ,Micro E-mini NASDAQ-100,20852.25,15,11/15/2024 00:01:13,143379511869, Filled,-2,0,0.25,,143379511869,11/15/2024 00:01:13,11/15/24,15,, Market,,,,,15,20852.25,20852.25
143379511870,DEMO3191066,143379511870, Sell,MNQZ4,MNQ,Micro E-mini NASDAQ-100,,,,143379511880, Canceled,-2,0,0.25,,143379511880,11/15/2024 00:01:13,11/15/24,15,, Trailing Stop,,20840.04,,20840.03664096384,,,
143379511884,DEMO3191066,143379511884, Sell,NQZ4,NQ,E-Mini NASDAQ 100,20850.75,1,11/15/2024 00:01:14,143379511884, Filled,-2,0,0.25,,143379511884,11/15/2024 00:01:14,11/15/24,1,, Market,,,,,1,20850.75,20850.75
143379511895,DEMO3191066,143379511895, Sell,NQZ4,NQ,E-Mini NASDAQ 100,20850.25,1,11/15/2024 00:01:15,143379511895, Filled,-2,0,0.25,,143379511895,11/15/2024 00:01:15,11/15/24,1,, Market,,,,,1,20850.25,20850.25
143379511896,DEMO3191066,143379511896, Buy,NQZ4,NQ,E-Mini NASDAQ 100,,,,143379512096, Canceled,-2,0,0.25,,143379512096,11/15/2024 00:13:06,11/15/24,1,Trail Update, Trailing Stop,,20870.06,,20870.057711853777,,,
143379512099,DEMO3191066,143379512099, Sell,MNQZ4,MNQ,Micro E-mini NASDAQ-100,20836.25,15,11/15/2024 00:18:05,143379512099, Filled,-2,0,0.25,,143379512099,11/15/2024 00:18:05,11/15/24,15,, Market,,,,,15,20836.25,20836.25
143379512110,DEMO3191066,143379512110, Sell,MNQZ4,MNQ,Micro E-mini NASDAQ-100,20836.5,15,11/15/2024 00:18:05,143379512110, Filled,-2,0,0.25,,143379512110,11/15/2024 00:18:05,11/15/24,15,, Market,,,,,15,20836.50,20836.5
143379512111,DEMO3191066,143379512111, Buy,MNQZ4,MNQ,Micro E-mini NASDAQ-100,,,,143379512156, Canceled,-2,0,0.25,,143379512156,11/15/2024 00:18:06,11/15/24,15,Trail Update, Trailing Stop,,20852.28,,20852.28283107488,,,
143379512131,DEMO3191066,143379512131, Buy,NQZ4,NQ,E-Mini NASDAQ 100,20836.75,1,11/15/2024 00:18:06,143379512131, Filled,-2,0,0.25,,143379512131,11/15/2024 00:18:06,11/15/24,1,, Market,,,,,1,20836.75,20836.75
